ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGNACY
19	3_moon	moon	WrittenBurmese	Written_Burmese	laˀ	laˀ	l aˀ	oldb1235	21.16	94.90	Sino-Tibetan	4	4
20	3_moon	moon	Zaiwa	Zaiwa	lə⁴ mɔ⁴	lə⁴ mɔ⁴	l ə ⁴ + m ɔ ⁴	zaiw1241	24.45	98.6	Sino-Tibetan	4 5	4 5
72	14_morning	morning	Achang	Achang	nap³	nap³	n a p ³	acha1249	24.25	97.8333	Sino-Tibetan	20	20
73	14_morning	morning	Bela	Bela	ne²³ kaŋ³	ne²³ kaŋ³	n e ²³ + k a ŋ ³	pela1242	24.45	98.6	Sino-Tibetan	20 21	20 21
74	14_morning	morning	Lashi	Lashi	næp³² gjot⁵²	næp³² gjot⁵²	n æ p ³² + g j o t ⁵²	lash1243	24.45	98.6	Sino-Tibetan	20 21	20 21
75	14_morning	morning	Maru	Maru	nɛɂ³² ga³¹	nɛɂ³² ga³¹	n ɛ ʔ ³² + g a ³¹	maru1249	24.45	98.6	Sino-Tibetan	20 21	20 21
76	14_morning	morning	WrittenBurmese	Written_Burmese	nak	nak	n a k	oldb1235	21.16	94.90	Sino-Tibetan	20	20
77	14_morning	morning	Zaiwa	Zaiwa	nap³ gjɔ⁴	nap³ gjɔ⁴	n a p ³ + g j ɔ ⁴	zaiw1241	24.45	98.6	Sino-Tibetan	20 21	20 21
1087	207_mortar	mortar	Achang	Achang	tsʰɔm³	tsʰɔm³	tsʰ ɔ m ³	acha1249	24.25	97.8333	Sino-Tibetan	314	314
1088	207_mortar	mortar	Lashi	Lashi	tsʰæm⁴³	tsʰæm⁴³	tsʰ æ m ⁴³	lash1243	24.45	98.6	Sino-Tibetan	314	314
1089	207_mortar	mortar	Maru	Maru	tsʰam⁴¹	tsʰam⁴¹	tsʰ a m ⁴¹	maru1249	24.45	98.6	Sino-Tibetan	314	314
1090	207_mortar	mortar	WrittenBurmese	Written_Burmese	cʰum	cʰum	tsʰ u m	oldb1235	21.16	94.90	Sino-Tibetan	314	314
1091	207_mortar	mortar	Zaiwa	Zaiwa	tsʰum⁵³	tsʰum⁵³	tsʰ u m ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	314	314
589	114_mosquito	mosquito	Achang	Achang	kjạŋ³	kjạŋ³	k j a̰ ŋ ³	acha1249	24.25	97.8333	Sino-Tibetan	169	169
590	114_mosquito	mosquito	Bela	Bela	kjạŋ³	kjạŋ³	k j a̰ ŋ ³	pela1242	24.45	98.6	Sino-Tibetan	169	169
591	114_mosquito	mosquito	Lashi	Lashi	kjạŋ⁵²	kjạŋ⁵²	k j a̰ ŋ ⁵²	lash1243	24.45	98.6	Sino-Tibetan	169	169
592	114_mosquito	mosquito	Maru	Maru	gjạ²¹	gjạ²¹	g j a̰ ²¹	maru1249	24.45	98.6	Sino-Tibetan	169	169
593	114_mosquito	mosquito	WrittenBurmese	Written_Burmese	kʰraŋ	kʰraŋ	kʰ r a ŋ	oldb1235	21.16	94.90	Sino-Tibetan	169	169
594	114_mosquito	mosquito	Zaiwa	Zaiwa	kjạŋ⁵³	kjạŋ⁵³	k j a̰ ŋ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	169	169
902	173_mother	mother	Achang	Achang	ɂuŋ³ wɛ³¹	ɂuŋ³ wɛ³¹	ʔ u ŋ ³ + w ɛ ³¹	acha1249	24.25	97.8333	Sino-Tibetan	258 259	258 259
903	173_mother	mother	Bela	Bela	ɂa	ɂa	ʔ a	pela1242	24.45	98.6	Sino-Tibetan	258	258
904	173_mother	mother	Lashi	Lashi	ɂa³ jẹɂ⁵³ noŋ	ɂa³ jẹɂ⁵³ noŋ	ʔ a ³ + j ḛ ʔ ⁵³ + n o ŋ	lash1243	24.45	98.6	Sino-Tibetan	258 259 260	258 259 260
905	173_mother	mother	Phon	Phon	ɂə ji³¹	ɂə ji³¹	ʔ ə + j i ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	258 259	258 259
906	173_mother	mother	Maru	Maru	jɪp² mị⁴²	jɪp² mị⁴²	j ɪ p ² + m ḭ ⁴²	maru1249	24.45	98.6	Sino-Tibetan	259 260	259 260
907	173_mother	mother	WrittenBurmese	Written_Burmese	miˀ	miˀ	m iˀ	oldb1235	21.16	94.90	Sino-Tibetan	260	260
184	35_mountain	mountain	Achang	Achang	buɔm³¹	buɔm³¹	b u/w ɔ m ³¹	acha1249	24.25	97.8333	Sino-Tibetan	55	55
185	35_mountain	mountain	Bela	Bela	pam²³	pam²³	p a m ²³	pela1242	24.45	98.6	Sino-Tibetan	55	55
186	35_mountain	mountain	Lashi	Lashi	bɛm⁵¹	bɛm⁵¹	b ɛ m ⁵¹	lash1243	24.45	98.6	Sino-Tibetan	55	55
187	35_mountain	mountain	Maru	Maru	bam³¹	bam³¹	b a m ³¹	maru1249	24.45	98.6	Sino-Tibetan	55	55
188	35_mountain	mountain	Zaiwa	Zaiwa	bum³¹	bum³¹	b u m ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	55	55
684	130_mouth	mouth	Achang	Achang	nụə̣t⁵⁴	nụə̣t⁵⁴	n ṵ ə̰ t ⁵⁴	acha1249	24.25	97.8333	Sino-Tibetan	197	197
685	130_mouth	mouth	Lashi	Lashi	nọịɂ⁵²	nọịɂ⁵²	n o̰i ʔ ⁵²	lash1243	24.45	98.6	Sino-Tibetan	197	197
686	130_mouth	mouth	Maru	Maru	nạt⁵⁴	nạt⁵⁴	n a̰ t ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	197	197
687	130_mouth	mouth	WrittenBurmese	Written_Burmese	hnut	hnut	h n u t	oldb1235	21.16	94.90	Sino-Tibetan	197	197
688	130_mouth	mouth	Zaiwa	Zaiwa	nʊ̣t⁵	nʊ̣t⁵	n ʊ̰ t ⁵	zaiw1241	24.45	98.6	Sino-Tibetan	197	197
136	27_mud	mud	Achang	Achang	tʰɔm⁵ bɔp⁴³	tʰɔm⁵ bɔp⁴³	tʰ ɔ m ⁵ + b ɔ p ⁴³	acha1249	24.25	97.8333	Sino-Tibetan	40 41	40 41
137	27_mud	mud	Lashi	Lashi	tʰøm⁵ bøp²¹	tʰøm⁵ bøp²¹	tʰ ø m ⁵ + b ø p ²¹	lash1243	24.45	98.6	Sino-Tibetan	40 41	40 41
138	27_mud	mud	Maru	Maru	tʰam³² bap³²	tʰam³² bap³²	tʰ a m ³² + b a p ³²	maru1249	24.45	98.6	Sino-Tibetan	40 41	40 41
139	27_mud	mud	WrittenBurmese	Written_Burmese	hrwamˀ	hrwamˀ	h r w a mˀ	oldb1235	21.16	94.90	Sino-Tibetan	40	40
140	27_mud	mud	Zaiwa	Zaiwa	bɔ³	bɔ³	b ɔ ³	zaiw1241	24.45	98.6	Sino-Tibetan	41	41
273	50_mushroom	mushroom	Achang	Achang	mau³¹	mau³¹	m au ³¹	acha1249	24.25	97.8333	Sino-Tibetan	78	78
274	50_mushroom	mushroom	Lashi	Lashi	mau³¹	mau³¹	m au ³¹	lash1243	24.45	98.6	Sino-Tibetan	78	78
275	50_mushroom	mushroom	Maru	Maru	mok⁴³	mok⁴³	m o k ⁴³	maru1249	24.45	98.6	Sino-Tibetan	78	78
276	50_mushroom	mushroom	Phon	Phon	mu⁵⁵	mu⁵⁵	m u ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	78	78
277	50_mushroom	mushroom	WrittenBurmese	Written_Burmese	hmui	hmui	h m u/w i	oldb1235	21.16	94.90	Sino-Tibetan	78	78
278	50_mushroom	mushroom	Zaiwa	Zaiwa	mai³	mai³	m ai ³	zaiw1241	24.45	98.6	Sino-Tibetan	78	78
782	150_nail	nail	Achang	Achang	sai⁵	sai⁵	s ai ⁵	acha1249	24.25	97.8333	Sino-Tibetan	225	225
783	150_nail	nail	Bela	Bela	saŋ²³	saŋ²³	s a ŋ ²³	pela1242	24.45	98.6	Sino-Tibetan	225	225
784	150_nail	nail	Lashi	Lashi	səŋ⁴	səŋ⁴	s ə ŋ ⁴	lash1243	24.45	98.6	Sino-Tibetan	225	225
785	150_nail	nail	Maru	Maru	saŋ⁴³	saŋ⁴³	s a ŋ ⁴³	maru1249	24.45	98.6	Sino-Tibetan	225	225
786	150_nail	nail	Phon	Phon	ʃaiŋ³¹	ʃaiŋ³¹	ʃ ai ŋ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	225	225
787	150_nail	nail	WrittenBurmese	Written_Burmese	saɲ:	saɲ:	s a ɲː/ɲ	oldb1235	21.16	94.90	Sino-Tibetan	225	225
788	150_nail	nail	Zaiwa	Zaiwa	siŋ³¹	siŋ³¹	s i ŋ ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	225	225
2048	397_naked	naked	Achang	Achang	tʃʰjɛn³	tʃʰjɛn³	tʃʰ j ɛ n ³	acha1249	24.25	97.8333	Sino-Tibetan	567	567
2049	397_naked	naked	Lashi	Lashi	tʃʰen³²	tʃʰen³²	tʃʰ e n ³²	lash1243	24.45	98.6	Sino-Tibetan	567	567
2050	397_naked	naked	Maru	Maru	dʒɛ̣t⁵	dʒɛ̣t⁵	dʒ ɛ̰ t ⁵	maru1249	24.45	98.6	Sino-Tibetan	567	567
2051	397_naked	naked	Zaiwa	Zaiwa	tʃʰɪn⁵³	tʃʰɪn⁵³	tʃʰ ɪ n ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	567	567
958	182_name	name	Achang	Achang	njeŋ³¹	njeŋ³¹	n j e ŋ ³¹	acha1249	24.25	97.8333	Sino-Tibetan	278	278
959	182_name	name	Bela	Bela	maŋ²³	maŋ²³	m a ŋ ²³	pela1242	24.45	98.6	Sino-Tibetan	278	278
960	182_name	name	Lashi	Lashi	mjəŋ³¹	mjəŋ³¹	m j ə ŋ ³¹	lash1243	24.45	98.6	Sino-Tibetan	278	278
961	182_name	name	Maru	Maru	mạŋ³¹	mạŋ³¹	m a̰ ŋ ³¹	maru1249	24.45	98.6	Sino-Tibetan	278	278
962	182_name	name	Phon	Phon	maiŋ⁵⁵	maiŋ⁵⁵	m ai ŋ ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	278	278
963	182_name	name	WrittenBurmese	Written_Burmese	maɲ	maɲ	m a ɲ	oldb1235	21.16	94.90	Sino-Tibetan	278	278
964	182_name	name	Zaiwa	Zaiwa	mjɪŋ³¹	mjɪŋ³¹	m j ɪ ŋ ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	278	278
1817	350_narrow	narrow	Achang	Achang	dzə³¹	dzə³¹	d z ə ³¹	acha1249	24.25	97.8333	Sino-Tibetan	506	506
1818	350_narrow	narrow	Bela	Bela	tsẹɂ⁵²	tsẹɂ⁵²	ts ḛ ʔ ⁵²	pela1242	24.45	98.6	Sino-Tibetan	506	506
1819	350_narrow	narrow	Lashi	Lashi	dʒæp⁵³	dʒæp⁵³	dʒ æ p ⁵³	lash1243	24.45	98.6	Sino-Tibetan	506	506
1820	350_narrow	narrow	Phon	Phon	ʃaŋ⁵⁵	ʃaŋ⁵⁵	ʃ a ŋ ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	506	506
1821	350_narrow	narrow	WrittenBurmese	Written_Burmese	kraɲ	kraɲ	k r a ɲ	oldb1235	21.16	94.90	Sino-Tibetan	506	506
1822	350_narrow	narrow	Zaiwa	Zaiwa	dʒap⁵⁴	dʒap⁵⁴	dʒ a p ⁵⁴	zaiw1241	24.45	98.6	Sino-Tibetan	506	506
731	140_navel	navel	Achang	Achang	tʃʰɔɂ⁵⁴	tʃʰɔɂ⁵⁴	tʃʰ ɔ ʔ ⁵⁴	acha1249	24.25	97.8333	Sino-Tibetan	212	212
732	140_navel	navel	Lashi	Lashi	tʃʰɔɂ⁵³	tʃʰɔɂ⁵³	tʃʰ ɔ ʔ ⁵³	lash1243	24.45	98.6	Sino-Tibetan	212	212
733	140_navel	navel	Maru	Maru	tʃʰoɂ⁵⁴	tʃʰoɂ⁵⁴	tʃʰ o ʔ ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	212	212
734	140_navel	navel	Phon	Phon	sʰɛɂ³¹	sʰɛɂ³¹	sʰ ɛ ʔ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	212	212
735	140_navel	navel	WrittenBurmese	Written_Burmese	kʰjak	kʰjak	kʰ j a k	oldb1235	21.16	94.90	Sino-Tibetan	212	212
736	140_navel	navel	Zaiwa	Zaiwa	tʃʰɔɂ⁵⁴	tʃʰɔɂ⁵⁴	tʃʰ ɔ ʔ ⁵⁴	zaiw1241	24.45	98.6	Sino-Tibetan	212	212
1866	359_near	near	Bela	Bela	tsõ²³	tsõ²³	ts õ ²³	pela1242	24.45	98.6	Sino-Tibetan	517	517
1867	359_near	near	Lashi	Lashi	dʒaŋk⁵³	dʒaŋk⁵³	dʒ a ŋ k ⁵³	lash1243	24.45	98.6	Sino-Tibetan	517	517
1868	359_near	near	Maru	Maru	dʒa³⁴	dʒa³⁴	dʒ a ³⁴	maru1249	24.45	98.6	Sino-Tibetan	517	517
1869	359_near	near	WrittenBurmese	Written_Burmese	raŋ ni:	raŋ ni:	r a ŋ + n iː	oldb1235	21.16	94.90	Sino-Tibetan	517 518	517 518
1870	359_near	near	Zaiwa	Zaiwa	dʒạŋ⁵³	dʒạŋ⁵³	dʒ a̰ ŋ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	517	517
1871	359_near	near	Achang	Achang	ni³	ni³	n i ³	acha1249	24.25	97.8333	Sino-Tibetan	518	518
1872	359_near	near	Phon	Phon	ne³¹	ne³¹	n e ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	518	518
1059	201_needle	needle	Achang	Achang	ŋạp⁵⁴	ŋạp⁵⁴	ŋ a̰ p ⁵⁴	acha1249	24.25	97.8333	Sino-Tibetan	307	307
1060	201_needle	needle	Bela	Bela	neɂ⁵²	neɂ⁵²	n e ʔ ⁵²	pela1242	24.45	98.6	Sino-Tibetan	307	307
1061	201_needle	needle	Lashi	Lashi	ŋæ̃p⁵³	ŋæ̃p⁵³	ŋ æ̃ p ⁵³	lash1243	24.45	98.6	Sino-Tibetan	307	307
1062	201_needle	needle	Maru	Maru	ŋẹɂ⁵⁴	ŋẹɂ⁵⁴	ŋ ḛ ʔ ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	307	307
1063	201_needle	needle	WrittenBurmese	Written_Burmese	ɂap	ɂap	ʔ a p	oldb1235	21.16	94.90	Sino-Tibetan	307	307
1064	201_needle	needle	Zaiwa	Zaiwa	ɂạp⁵	ɂạp⁵	ʔ a̰ p ⁵	zaiw1241	24.45	98.6	Sino-Tibetan	307	307
1920	368_new	new	Achang	Achang	ɂa³ saik⁵⁴	ɂa³ saik⁵⁴	ʔ a ³ + s ai k ⁵⁴	acha1249	24.25	97.8333	Sino-Tibetan	529 530	529 530
1921	368_new	new	Lashi	Lashi	ɂa³ sək⁵³	ɂa³ sək⁵³	ʔ a ³ + s ə k ⁵³	lash1243	24.45	98.6	Sino-Tibetan	529 530	529 530
1922	368_new	new	Maru	Maru	ɂa² sak⁵	ɂa² sak⁵	ʔ a ² + s a k ⁵	maru1249	24.45	98.6	Sino-Tibetan	529 530	529 530
1923	368_new	new	WrittenBurmese	Written_Burmese	ɂə sac	ɂə sac	ʔ ə + s a ts	oldb1235	21.16	94.90	Sino-Tibetan	529 530	529 530
1924	368_new	new	Zaiwa	Zaiwa	ɂə³ sɪk⁵⁴	ɂə³ sɪk⁵⁴	ʔ ə ³ + s ɪ k ⁵⁴	zaiw1241	24.45	98.6	Sino-Tibetan	529 530	529 530
58	12_night	night	Achang	Achang	njɛn³⁵	njɛn³⁵	n j ɛ n ³⁵	acha1249	24.25	97.8333	Sino-Tibetan	18	18
59	12_night	night	Bela	Bela	mjan²³	mjan²³	m j a n ²³	pela1242	24.45	98.6	Sino-Tibetan	18	18
60	12_night	night	Lashi	Lashi	mjēŋ⁵	mjēŋ⁵	m j eː ŋ ⁵	lash1243	24.45	98.6	Sino-Tibetan	18	18
61	12_night	night	Maru	Maru	mị⁵	mị⁵	m ḭ ⁵	maru1249	24.45	98.6	Sino-Tibetan	18	18
62	12_night	night	Phon	Phon	meɪ³¹	meɪ³¹	m eɪ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	18	18
63	12_night	night	WrittenBurmese	Written_Burmese	ɲaɲˀ	ɲaɲˀ	ɲ a ɲˀ	oldb1235	21.16	94.90	Sino-Tibetan	18	18
64	12_night	night	Zaiwa	Zaiwa	mjɪn³⁴	mjɪn³⁴	m j ɪ n ³⁴	zaiw1241	24.45	98.6	Sino-Tibetan	18	18
1710	330_ninepeople	nine (people)	Achang	Achang	gau³⁴	gau³⁴	g au ³⁴	acha1249	24.25	97.8333	Sino-Tibetan	480	480
1711	330_ninepeople	nine (people)	Bela	Bela	kau⁵²	kau⁵²	k au ⁵²	pela1242	24.45	98.6	Sino-Tibetan	480	480
1712	330_ninepeople	nine (people)	Lashi	Lashi	gau³	gau³	g au ³	lash1243	24.45	98.6	Sino-Tibetan	480	480
1713	330_ninepeople	nine (people)	Maru	Maru	gok⁴³	gok⁴³	g o k ⁴³	maru1249	24.45	98.6	Sino-Tibetan	480	480
1714	330_ninepeople	nine (people)	WrittenBurmese	Written_Burmese	kui:	kui:	k u/w iː	oldb1235	21.16	94.90	Sino-Tibetan	480	480
1715	330_ninepeople	nine (people)	Zaiwa	Zaiwa	gau³²	gau³²	g au ³²	zaiw1241	24.45	98.6	Sino-Tibetan	480	480
78	15_noon	noon	Achang	Achang	kuŋ⁵¹	kuŋ⁵¹	k u ŋ ⁵¹	acha1249	24.25	97.8333	Sino-Tibetan	22	22
79	15_noon	noon	Bela	Bela	kạ̄⁵²	kạ̄⁵²	k a̰ː ⁵²	pela1242	24.45	98.6	Sino-Tibetan	22	22
80	15_noon	noon	Lashi	Lashi	goŋ⁵¹	goŋ⁵¹	g o ŋ ⁵¹	lash1243	24.45	98.6	Sino-Tibetan	22	22
81	15_noon	noon	Maru	Maru	gau³¹	gau³¹	g au ³¹	maru1249	24.45	98.6	Sino-Tibetan	22	22
82	15_noon	noon	Zaiwa	Zaiwa	guŋ⁵³	guŋ⁵³	g u ŋ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	22	22
107	21_north	north	Achang	Achang	dzọŋ³²	dzọŋ³²	d z o̰ ŋ ³²	acha1249	24.25	97.8333	Sino-Tibetan	31	31
108	21_north	north	Bela	Bela	tsaŋ³	tsaŋ³	ts a ŋ ³	pela1242	24.45	98.6	Sino-Tibetan	31	31
109	21_north	north	Lashi	Lashi	tsọŋ³²	tsọŋ³²	ts o̰ ŋ ³²	lash1243	24.45	98.6	Sino-Tibetan	31	31
664	127_nose	nose	Achang	Achang	nɔ̣³	nɔ̣³	n ɔ̰ ³	acha1249	24.25	97.8333	Sino-Tibetan	192	192
665	127_nose	nose	Bela	Bela	nã³	nã³	n ã ³	pela1242	24.45	98.6	Sino-Tibetan	192	192
666	127_nose	nose	Lashi	Lashi	nũ³	nũ³	n ũ ³	lash1243	24.45	98.6	Sino-Tibetan	192	192
667	127_nose	nose	Maru	Maru	nọ⁴¹	nọ⁴¹	n o̰ ⁴¹	maru1249	24.45	98.6	Sino-Tibetan	192	192
668	127_nose	nose	Phon	Phon	naɂ⁵⁵	naɂ⁵⁵	n a ʔ ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	192	192
669	127_nose	nose	WrittenBurmese	Written_Burmese	hna	hna	h n a	oldb1235	21.16	94.90	Sino-Tibetan	192	192
670	127_nose	nose	Zaiwa	Zaiwa	nɔ⁵³	nɔ⁵³	n ɔ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	192	192
1925	369_old	old	Achang	Achang	tsʰau⁵	tsʰau⁵	tsʰ au ⁵	acha1249	24.25	97.8333	Sino-Tibetan	531	531
1926	369_old	old	Lashi	Lashi	tsʰau³	tsʰau³	tsʰ au ³	lash1243	24.45	98.6	Sino-Tibetan	531	531
1927	369_old	old	Maru	Maru	tsʰoɂ⁵⁴	tsʰoɂ⁵⁴	tsʰ o ʔ ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	531	531
1660	322_oneperson	one (person)	Achang	Achang	dai³ juk³²	dai³ juk³²	d ai ³ + j u k ³²	acha1249	24.25	97.8333	Sino-Tibetan	470 471	470 471
1661	322_oneperson	one (person)	Bela	Bela	ta⁵²	ta⁵²	t a ⁵²	pela1242	24.45	98.6	Sino-Tibetan	470	470
1662	322_oneperson	one (person)	Lashi	Lashi	dai³ jok³²	dai³ jok³²	d ai ³ + j o k ³²	lash1243	24.45	98.6	Sino-Tibetan	470 471	470 471
1663	322_oneperson	one (person)	Maru	Maru	de³ jæuɂ⁴²	de³ jæuɂ⁴²	d e ³ + j æu ʔ ⁴²	maru1249	24.45	98.6	Sino-Tibetan	470 471	470 471
1664	322_oneperson	one (person)	Phon	Phon	toɂ³¹	toɂ³¹	t o ʔ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	470	470
1665	322_oneperson	one (person)	WrittenBurmese	Written_Burmese	tac jauk	tac jauk	t a ts + j au k	oldb1235	21.16	94.90	Sino-Tibetan	470 471	470 471
1666	322_oneperson	one (person)	Zaiwa	Zaiwa	juɂ³¹	juɂ³¹	j u ʔ ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	471	471
296	55_opium	opium	WrittenBurmese	Written_Burmese	hbin:	hbin:	h b i nː/n	oldb1235	21.16	94.90	Sino-Tibetan	85	85
297	55_opium	opium	Zaiwa	Zaiwa	pʰɛn³	pʰɛn³	pʰ ɛ n ³	zaiw1241	24.45	98.6	Sino-Tibetan	85	85
352	68_paddyrice	paddy rice	Achang	Achang	guk³	guk³	g u k ³	acha1249	24.25	97.8333	Sino-Tibetan	106	106
353	68_paddyrice	paddy rice	Lashi	Lashi	kọk⁵³	kọk⁵³	k o̰ k ⁵³	lash1243	24.45	98.6	Sino-Tibetan	106	106
354	68_paddyrice	paddy rice	Maru	Maru	gauk³²	gauk³²	g au k ³²	maru1249	24.45	98.6	Sino-Tibetan	106	106
355	68_paddyrice	paddy rice	Phon	Phon	koɂ⁵⁵	koɂ⁵⁵	k o ʔ ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	106	106
356	68_paddyrice	paddy rice	Zaiwa	Zaiwa	guɂ³²	guɂ³²	g u ʔ ³²	zaiw1241	24.45	98.6	Sino-Tibetan	106	106
1372	264_painful	painful	Achang	Achang	nɔ³¹	nɔ³¹	n ɔ ³¹	acha1249	24.25	97.8333	Sino-Tibetan	395	395
1373	264_painful	painful	Lashi	Lashi	no²³	no²³	n o ²³	lash1243	24.45	98.6	Sino-Tibetan	395	395
1374	264_painful	painful	Maru	Maru	no²³	no²³	n o ²³	maru1249	24.45	98.6	Sino-Tibetan	395	395
1375	264_painful	painful	Phon	Phon	naɂ⁵⁵	naɂ⁵⁵	n a ʔ ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	395	395
1376	264_painful	painful	WrittenBurmese	Written_Burmese	na	na	n a	oldb1235	21.16	94.90	Sino-Tibetan	395	395
1377	264_painful	painful	Zaiwa	Zaiwa	nɔ³¹	nɔ³¹	n ɔ ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	395	395
309	58_papaya	papaya	Achang	Achang	saŋ³ pʰɔ³	saŋ³ pʰɔ³	s a ŋ ³ + pʰ ɔ ³	acha1249	24.25	97.8333	Sino-Tibetan	89 90	89 90
310	58_papaya	papaya	Lashi	Lashi	saŋ⁵⁴ pʰɔɂ³	saŋ⁵⁴ pʰɔɂ³	s a ŋ ⁵⁴ + pʰ ɔ ʔ ³	lash1243	24.45	98.6	Sino-Tibetan	89 90	89 90
311	58_papaya	papaya	Maru	Maru	saŋ⁵² pʰɔ⁵²	saŋ⁵² pʰɔ⁵²	s a ŋ ⁵² + pʰ ɔ ⁵²	maru1249	24.45	98.6	Sino-Tibetan	89 90	89 90
312	58_papaya	papaya	WrittenBurmese	Written_Burmese	saŋ hbau:	saŋ hbau:	s a ŋ + h b aːu	oldb1235	21.16	94.90	Sino-Tibetan	89 90	89 90
313	58_papaya	papaya	Zaiwa	Zaiwa	seŋ⁴ pʰɔ⁵⁴	seŋ⁴ pʰɔ⁵⁴	s e ŋ ⁴ + pʰ ɔ ⁵⁴	zaiw1241	24.45	98.6	Sino-Tibetan	89 90	89 90
1649	320_pay	pay	Lashi	Lashi	tʃʰiɛ²	tʃʰiɛ²	tʃʰ i/j ɛ ²	lash1243	24.45	98.6	Sino-Tibetan	467	467
1650	320_pay	pay	Maru	Maru	tʃʰi⁴ bịɂ⁵⁴	tʃʰi⁴ bịɂ⁵⁴	tʃʰ i ⁴ + b ḭ ʔ ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	467 468	467 468
1651	320_pay	pay	Achang	Achang	djei³	djei³	d j ei ³	acha1249	24.25	97.8333	Sino-Tibetan	468	468
1652	320_pay	pay	WrittenBurmese	Written_Burmese	pe:	pe:	p eː	oldb1235	21.16	94.90	Sino-Tibetan	468	468
1653	320_pay	pay	Zaiwa	Zaiwa	bi⁵³	bi⁵³	b i ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	468	468
325	63_peanut	peanut	Achang	Achang	mjɛ³ bɛ⁵	mjɛ³ bɛ⁵	m j ɛ ³ + b ɛ ⁵	acha1249	24.25	97.8333	Sino-Tibetan	94 95	94 95
326	63_peanut	peanut	Bela	Bela	me³ nak⁵²	me³ nak⁵²	m e ³ + n a k ⁵²	pela1242	24.45	98.6	Sino-Tibetan	94 96	94 96
327	63_peanut	peanut	Lashi	Lashi	mjeŋ³² nok³²	mjeŋ³² nok³²	m j e ŋ ³² + n o k ³²	lash1243	24.45	98.6	Sino-Tibetan	94 96	94 96
328	63_peanut	peanut	Maru	Maru	mi²³	mi²³	m i ²³	maru1249	24.45	98.6	Sino-Tibetan	94	94
329	63_peanut	peanut	WrittenBurmese	Written_Burmese	mre pai:	mre pai:	m r e + p a	oldb1235	21.16	94.90	Sino-Tibetan	94 95	94 95
330	63_peanut	peanut	Zaiwa	Zaiwa	mi³ nuɂ³⁵	mi³ nuɂ³⁵	m i ³ + n u ʔ ³⁵	zaiw1241	24.45	98.6	Sino-Tibetan	94 96	94 96
890	171_person	person	Achang	Achang	dju³¹	dju³¹	d j u ³¹	acha1249	24.25	97.8333	Sino-Tibetan	255	255
891	171_person	person	Bela	Bela	pju³	pju³	p j u ³	pela1242	24.45	98.6	Sino-Tibetan	255	255
892	171_person	person	Lashi	Lashi	bju⁵¹	bju⁵¹	b j u ⁵¹	lash1243	24.45	98.6	Sino-Tibetan	255	255
893	171_person	person	Maru	Maru	bju³¹	bju³¹	b j u ³¹	maru1249	24.45	98.6	Sino-Tibetan	255	255
894	171_person	person	WrittenBurmese	Written_Burmese	lu	lu	l u	oldb1235	21.16	94.90	Sino-Tibetan	255	255
1092	208_pestle	pestle	Achang	Achang	tʰuŋ⁵ kjẹị³	tʰuŋ⁵ kjẹị³	tʰ u ŋ ⁵ + k j ḛ ḭ ³	acha1249	24.25	97.8333	Sino-Tibetan	315 316	315 316
1093	208_pestle	pestle	Lashi	Lashi	tʃʰaŋ⁴⁵ ge³¹	tʃʰaŋ⁴⁵ ge³¹	tʃʰ a ŋ ⁴⁵ + g e ³¹	lash1243	24.45	98.6	Sino-Tibetan	315 316	315 316
1094	208_pestle	pestle	Maru	Maru	tʃʰa³²	tʃʰa³²	tʃʰ a ³²	maru1249	24.45	98.6	Sino-Tibetan	315	315
